<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USD000000TOD;D;20160818;000000;63.6650000;64.1775000;63.3700000;63.8275000;1232314000
USD000000TOD;D;20160819;000000;63.6325000;64.0625000;63.5400000;63.7400000;1407474000
USD000000TOD;D;20160822;000000;64.1975000;64.6875000;64.0425000;64.6700000;1404250000
USD000000TOD;D;20160823;000000;64.8900000;64.9000000;64.4500000;64.6600000;1150277000
USD000000TOD;D;20160824;000000;64.9500000;64.9525000;64.6800000;64.7625000;1393451000
USD000000TOD;D;20160825;000000;65.0050000;65.0450000;64.5500000;64.6950000;1277204000
USD000000TOD;D;20160826;000000;64.6300000;64.9500000;64.5500000;64.5500000;1059373000
USD000000TOD;D;20160829;000000;64.9250000;65.1650000;64.8800000;65.0300000;1008457000
USD000000TOD;D;20160830;000000;64.8800000;65.1750000;64.7975000;65.0900000;928970000
USD000000TOD;D;20160831;000000;65.2275000;65.4000000;65.1050000;65.1800000;1408524000
USD000000TOD;D;20160901;000000;65.2775000;65.7100000;65.1500000;65.6175000;1185923000
USD000000TOD;D;20160902;000000;65.7575000;65.8925000;64.9025000;65.1125000;1491059000
USD000000TOD;D;20160906;000000;64.8500000;64.9100000;64.5525000;64.6925000;955983000
USD000000TOD;D;20160907;000000;64.4200000;64.5800000;64.2250000;64.3050000;1099608000
USD000000TOD;D;20160908;000000;63.9825000;64.0375000;63.7450000;63.9975000;1226885000
USD000000TOD;D;20160909;000000;64.1400000;64.7050000;63.9625000;64.5800000;1304084000
USD000000TOD;D;20160912;000000;64.9000000;65.2875000;64.7500000;64.7950000;1223558000
USD000000TOD;D;20160913;000000;64.7775000;65.1100000;64.6575000;65.0500000;1179866000
USD000000TOD;D;20160914;000000;65.0300000;65.2950000;64.8600000;65.0850000;1556767000
USD000000TOD;D;20160915;000000;65.3025000;65.3700000;64.8225000;64.9800000;1604952000
USD000000TOD;D;20160916;000000;64.8025000;65.1975000;64.8025000;65.1500000;1315412000
USD000000TOD;D;20160919;000000;64.5625000;65.0050000;64.4825000;64.5400000;1156612000
USD000000TOD;D;20160920;000000;64.6325000;65.0000000;64.6050000;64.8375000;1383973000
USD000000TOD;D;20160921;000000;64.5025000;64.5275000;64.2300000;64.2400000;1031083000
USD000000TOD;D;20160922;000000;63.7675000;63.9525000;63.4825000;63.6325000;1536736000
USD000000TOD;D;20160923;000000;63.7500000;63.8925000;63.3350000;63.7325000;1782400000
USD000000TOD;D;20160926;000000;63.9575000;64.2725000;63.6000000;63.6250000;1681164000
USD000000TOD;D;20160927;000000;63.7450000;63.9750000;63.5550000;63.8050000;1460738000
USD000000TOD;D;20160928;000000;63.9600000;64.0450000;63.7650000;63.8000000;1296968000
USD000000TOD;D;20160929;000000;63.0475000;63.3425000;62.9400000;63.0325000;1518386000
USD000000TOD;D;20160930;000000;63.2700000;63.4725000;62.9050000;63.1750000;1727827000
USD000000TOD;D;20161003;000000;62.7950000;62.8575000;62.1300000;62.4200000;1803814000
USD000000TOD;D;20161004;000000;62.3950000;62.6025000;62.3025000;62.5750000;1273816000
USD000000TOD;D;20161005;000000;62.5125000;62.6075000;62.2825000;62.4900000;876353000
USD000000TOD;D;20161006;000000;62.3775000;62.4600000;62.0975000;62.2350000;954234000
USD000000TOD;D;20161007;000000;62.1500000;62.4650000;61.8825000;61.9800000;1584042000
